predictions,labels
9.744672775268555,13.1
9.988600730895996,11.5
7.918930530548096,10.3
8.82811450958252,10.9
11.603921890258789,5.5
10.709985733032227,6.7
11.08891773223877,12.1
8.45776081085205,6.5
2.4207658767700195,3.0
6.889595985412598,5.6
10.25731372833252,13.1
8.992761611938477,11.9
7.724048614501953,10.0
7.562758445739746,10.0
9.43004322052002,11.4
10.00975227355957,14.9
9.206122398376465,12.6
9.976146697998047,10.9
7.800295352935791,4.8
4.9834771156311035,4.7
6.523134231567383,7.6
6.464592456817627,5.6
7.151251316070557,6.0
7.845949649810791,7.6
5.124297142028809,6.3
5.317317008972168,8.0
6.830844402313232,7.5
6.9763922691345215,7.6
7.318785667419434,7.4
7.262524604797363,7.9
8.04473876953125,7.7
7.759120941162109,10.6
7.98584508895874,13.6
8.189151763916016,10.3
9.148272514343262,10.3
9.888094902038574,15.1
10.615959167480469,30.2
8.730132102966309,16.0
9.249887466430664,8.2
8.146827697753906,12.3
10.362717628479004,16.0
6.713212013244629,12.2
4.7510085105896,6.3
7.601884841918945,6.6
8.33587646484375,6.2
6.970198154449463,7.7
7.415582656860352,7.9
7.4904561042785645,10.5
6.323235511779785,8.0
3.03002667427063,4.8
5.05565881729126,4.0
4.081033229827881,5.2
4.633630752563477,5.5
3.5810725688934326,3.4
4.190491199493408,6.5
6.348170757293701,7.5
5.054468154907227,6.3
6.9021759033203125,5.5
7.240279674530029,6.9
7.920074939727783,5.9
8.392215728759766,4.1
6.216639041900635,3.0
6.1562910079956055,3.1
6.7528557777404785,4.7
6.549055576324463,5.4
7.4530253410339355,7.4
7.883014678955078,6.3
9.642545700073242,7.8
7.714488506317139,5.9
10.076316833496094,4.5
10.820101737976074,7.6
9.310295104980469,2.9
7.875879287719727,2.1
6.1416239738464355,2.8
8.951275825500488,3.9
5.7629804611206055,1.8
9.339825630187988,3.5
5.797079086303711,3.2
5.172224998474121,1.8
3.392592430114746,1.4
6.094557762145996,5.2
8.34200668334961,7.7
10.55892276763916,10.6
10.277872085571289,9.2
10.085834503173828,7.2
10.727713584899902,9.2
10.005647659301758,8.4
8.307760238647461,9.7
10.410019874572754,10.6
9.89137077331543,12.3
7.009867191314697,6.6
7.6111884117126465,5.9
5.387737274169922,9.2
7.162176132202148,11.7
8.050209045410156,12.5
5.235579013824463,9.0
4.093070030212402,2.4
5.327502727508545,5.5
8.482340812683105,9.0
8.145524978637695,14.0
4.427445888519287,4.1
6.323635101318359,3.0
7.2845330238342285,5.8
5.074857234954834,4.0
7.743473529815674,8.7
8.246458053588867,11.8
9.540608406066895,14.5
9.713521957397461,12.5
10.009225845336914,10.0
9.418046951293945,12.9
9.444354057312012,12.1
9.008983612060547,11.4
5.542817115783691,8.9
6.400791168212891,8.1
6.87556266784668,7.8
8.276408195495605,9.0
8.250709533691406,6.6
8.716221809387207,8.3
8.132124900817871,10.7
9.04379653930664,11.7
9.573022842407227,9.0
10.087554931640625,10.1
9.874239921569824,8.0
9.284947395324707,8.9
9.320943832397461,10.7
10.004210472106934,12.0
9.24770450592041,8.7
7.172248363494873,5.9
3.031883478164673,6.6
7.808048248291016,3.7
6.316188812255859,2.6
8.968741416931152,5.6
8.649608612060547,6.6
8.55769157409668,7.5
8.300026893615723,8.5
8.41783618927002,8.1
8.781801223754883,5.3
9.804645538330078,4.3
9.23906421661377,2.7
6.428277492523193,2.7
6.054359436035156,7.1
8.622583389282227,9.5
9.141908645629883,10.1
10.04606819152832,7.2
10.238008499145508,4.4
8.46784782409668,7.7
8.856054306030273,9.0
8.952635765075684,11.2
9.104859352111816,12.9
9.649749755859375,12.7
9.147950172424316,6.5
8.17654037475586,8.0
8.349359512329102,8.7
8.962569236755371,12.7
6.950961112976074,12.5
6.993034362792969,12.7
9.7827787399292,13.1
9.20669174194336,11.8
10.303738594055176,9.0
8.500839233398438,9.2
9.451947212219238,10.5
9.343820571899414,7.9
8.822073936462402,6.5
8.204413414001465,7.4
9.115338325500488,11.0
9.104859352111816,10.8
9.763827323913574,6.6
10.220550537109375,8.8
10.066996574401855,9.0
9.593056678771973,8.7
9.11069107055664,6.7
9.208300590515137,5.7
9.272675514221191,9.1
8.893813133239746,10.4
9.855155944824219,12.7
10.450188636779785,11.5
8.533307075500488,6.7
9.429716110229492,3.9
9.894545555114746,5.0
8.98599624633789,6.5
