predictions,labels
18.144954681396484,23.0
20.785720825195312,35.0
24.898685455322266,45.0
22.46527671813965,28.0
18.62777328491211,10.0
19.47413444519043,13.0
18.837121963500977,20.0
17.417219161987305,15.0
-5.3628387451171875,8.0
24.235553741455078,27.0
19.37278175354004,35.0
22.083555221557617,54.0
28.142120361328125,103.0
30.495988845825195,122.0
18.157228469848633,73.0
21.468534469604492,95.0
22.72293472290039,73.0
22.80843734741211,61.0
22.66773796081543,21.0
26.00838279724121,25.0
24.715227127075195,31.0
24.26266860961914,35.0
25.111101150512695,38.0
24.02548599243164,39.0
23.089757919311523,45.0
22.60776710510254,28.0
25.85930061340332,20.0
29.972213745117188,23.0
30.998964309692383,48.0
30.58503532409668,51.0
27.948688507080078,39.0
29.28516387939453,44.0
28.11594009399414,46.0
25.657196044921875,29.0
23.633066177368164,22.0
16.934001922607422,26.0
19.065258026123047,42.0
20.10209083557129,35.0
25.53746795654297,29.0
22.411941528320312,29.0
19.82109832763672,29.0
22.137420654296875,39.0
23.38209342956543,23.0
21.147214889526367,18.0
23.139118194580078,13.0
24.920286178588867,23.0
27.554662704467773,25.0
24.904075622558594,26.0
20.411561965942383,22.0
22.44628143310547,26.0
23.67875862121582,16.0
22.437082290649414,15.0
20.473342895507812,26.0
23.549821853637695,14.0
22.686067581176758,19.0
22.66436195373535,20.0
20.66216468811035,19.0
20.765586853027344,15.0
20.594436645507812,18.0
17.136629104614258,17.0
19.151445388793945,9.0
17.54285430908203,8.0
24.983652114868164,9.0
26.037141799926758,13.0
29.02301025390625,17.0
24.97771644592285,29.0
25.822002410888672,25.0
22.177078247070312,24.0
10.86018180847168,11.0
20.51003646850586,7.0
20.557649612426758,14.0
11.249101638793945,6.0
15.158487319946289,8.0
22.240638732910156,8.0
16.571800231933594,10.0
18.625003814697266,6.0
22.026594161987305,12.0
20.46133041381836,10.0
27.51439094543457,8.0
27.58408546447754,9.0
26.473264694213867,18.0
23.921762466430664,27.0
19.689228057861328,18.0
18.362110137939453,14.0
18.162702560424805,11.0
19.16802978515625,13.0
20.11876106262207,15.0
19.7003173828125,25.0
19.185848236083984,25.0
21.423416137695312,25.0
22.25004005432129,23.0
27.17616844177246,19.0
33.14038848876953,35.0
32.27145004272461,48.0
30.54363250732422,46.0
28.076671600341797,34.0
29.15538215637207,19.0
27.839841842651367,41.0
29.42168617248535,33.0
27.695337295532227,36.0
23.484636306762695,28.0
25.896175384521484,12.0
24.114992141723633,26.0
23.73408317565918,16.0
23.3883056640625,30.0
24.685474395751953,33.0
26.507753372192383,39.0
20.233963012695312,31.0
19.811161041259766,19.0
19.902088165283203,25.0
20.607297897338867,25.0
21.408302307128906,29.0
26.517696380615234,38.0
26.951278686523438,28.0
24.935089111328125,26.0
23.46892738342285,23.0
22.657365798950195,16.0
24.14624786376953,24.0
24.095149993896484,35.0
26.41771697998047,33.0
25.135107040405273,26.0
22.990432739257812,24.0
22.106958389282227,28.0
22.224485397338867,28.0
24.297412872314453,41.0
23.239002227783203,38.0
25.9046688079834,27.0
24.720624923706055,21.0
17.59758186340332,22.0
23.847814559936523,17.0
24.368322372436523,19.0
24.785173416137695,25.0
23.51158905029297,25.0
22.390832901000977,21.0
23.797922134399414,27.0
25.561275482177734,26.0
24.597904205322266,18.0
25.098495483398438,16.0
24.54290199279785,12.0
21.17462730407715,13.0
25.672372817993164,24.0
22.837900161743164,29.0
23.17475700378418,25.0
22.696338653564453,13.0
22.883724212646484,11.0
26.716176986694336,24.0
26.3893985748291,28.0
25.29603385925293,30.0
23.42558479309082,31.0
23.296043395996094,27.0
23.41790199279785,15.0
24.0653018951416,26.0
24.949024200439453,28.0
26.656803131103516,37.0
23.315961837768555,22.0
24.2690486907959,29.0
25.19237518310547,29.0
24.757389068603516,21.0
24.390180587768555,15.0
24.725248336791992,20.0
24.80672836303711,28.0
23.42558479309082,27.0
24.877620697021484,14.0
23.580137252807617,17.0
23.111528396606445,23.0
25.145835876464844,20.0
25.76300621032715,16.0
24.78209114074707,20.0
25.23423957824707,24.0
26.02545166015625,33.0
26.01850128173828,35.0
27.011571884155273,29.0
26.15329933166504,17.0
25.669687271118164,10.0
25.769737243652344,16.0
27.156373977661133,16.0
26.6552677154541,31.0
38.984947204589844,63.0
31.06420135498047,60.0
34.82195281982422,42.0
33.60685729980469,38.0
31.55034637451172,32.0
27.928266525268555,28.0
28.306682586669922,20.0
26.941749572753906,17.0
29.004680633544922,19.0
29.716203689575195,19.0
28.713016510009766,18.0
27.733396530151367,17.0
27.031726837158203,17.0
28.53667449951172,16.0
26.956331253051758,16.0
25.334409713745117,8.0
29.346988677978516,19.0
32.3488883972168,39.0
29.841218948364258,44.0
30.113733291625977,40.0
28.602285385131836,25.0
27.6412353515625,26.0
24.97723388671875,22.0
24.335182189941406,18.0
27.6412353515625,21.0
29.655132293701172,21.0
29.56878089904785,21.0
28.85888671875,27.0
28.853479385375977,29.0
24.80022430419922,30.0
27.977394104003906,28.0
29.56878089904785,37.0
31.75612449645996,44.0
29.22021484375,33.0
28.96630859375,23.0
31.39800262451172,25.0
30.361114501953125,19.0
28.38623046875,19.0
29.207195281982422,19.0
29.45191764831543,18.0
29.692495346069336,23.0
28.291166305541992,28.0
28.674423217773438,29.0
27.584548950195312,30.0
28.30520248413086,30.0
28.018192291259766,35.0
26.678302764892578,29.0
26.76548957824707,27.0
28.07659339904785,32.0
27.53427505493164,52.0
26.666959762573242,36.0
27.84394645690918,30.0
26.164764404296875,30.0
30.70386505126953,31.0
28.14073371887207,37.0
