predictions,labels
16.902576446533203,23.0
19.9921875,35.0
24.077917098999023,45.0
22.988262176513672,28.0
19.0072021484375,10.0
20.124963760375977,13.0
18.254154205322266,20.0
18.376516342163086,15.0
-4.950002670288086,8.0
24.12586212158203,27.0
18.799039840698242,35.0
21.770586013793945,54.0
28.60177230834961,103.0
28.992761611938477,122.0
17.18154525756836,73.0
20.559568405151367,95.0
22.562232971191406,73.0
22.59827423095703,61.0
22.085872650146484,21.0
25.558658599853516,25.0
21.85574722290039,31.0
22.089214324951172,35.0
23.658666610717773,38.0
22.682878494262695,39.0
22.145078659057617,45.0
21.546541213989258,28.0
25.031740188598633,20.0
27.97575569152832,23.0
29.51026725769043,48.0
29.89113998413086,51.0
26.839969635009766,39.0
28.871171951293945,44.0
28.380884170532227,46.0
25.56501007080078,29.0
22.53326988220215,22.0
15.925138473510742,26.0
18.30196762084961,42.0
19.32255744934082,35.0
25.08541488647461,29.0
21.847230911254883,29.0
19.319747924804688,29.0
20.8848819732666,39.0
22.207895278930664,23.0
20.145612716674805,18.0
22.259843826293945,13.0
24.002504348754883,23.0
26.82897186279297,25.0
24.28097915649414,26.0
19.30760383605957,22.0
20.71994972229004,26.0
21.29710578918457,16.0
20.81962776184082,15.0
18.802026748657227,26.0
22.357036590576172,14.0
21.166912078857422,19.0
19.79907989501953,20.0
18.998245239257812,19.0
18.01952362060547,15.0
18.015520095825195,18.0
15.25994873046875,17.0
18.64833641052246,9.0
16.21567153930664,8.0
22.379573822021484,9.0
23.74809455871582,13.0
27.624704360961914,17.0
23.987300872802734,29.0
25.18657684326172,25.0
22.33123779296875,24.0
10.869436264038086,11.0
20.370136260986328,7.0
20.618900299072266,14.0
12.055829048156738,6.0
14.50024700164795,8.0
21.755069732666016,8.0
14.97448444366455,10.0
17.11563491821289,6.0
17.237871170043945,7.0
17.327720642089844,14.0
17.373401641845703,6.0
17.37485122680664,8.0
17.33216667175293,8.0
21.327251434326172,12.0
19.50944709777832,10.0
25.949913024902344,8.0
26.942047119140625,9.0
25.411203384399414,18.0
23.18744468688965,27.0
19.57587432861328,18.0
18.124853134155273,14.0
17.865577697753906,11.0
18.519363403320312,13.0
18.980714797973633,15.0
19.09992218017578,25.0
19.28360366821289,25.0
21.56549835205078,25.0
22.528276443481445,23.0
29.1572265625,19.0
33.080078125,35.0
32.177490234375,48.0
30.654916763305664,46.0
28.496702194213867,34.0
29.661928176879883,19.0
28.256784439086914,41.0
30.278545379638672,33.0
26.256738662719727,36.0
22.904220581054688,28.0
24.862281799316406,12.0
23.00899314880371,26.0
23.55440902709961,16.0
23.1628475189209,30.0
24.926267623901367,33.0
25.722393035888672,39.0
20.389894485473633,31.0
19.43244743347168,19.0
19.855884552001953,25.0
20.561511993408203,25.0
20.916250228881836,29.0
27.062408447265625,38.0
26.16362190246582,28.0
24.553773880004883,26.0
22.336740493774414,23.0
22.27110481262207,16.0
24.007116317749023,24.0
24.644105911254883,35.0
27.496923446655273,33.0
24.154659271240234,26.0
22.555952072143555,24.0
22.096946716308594,28.0
22.595672607421875,28.0
24.823644638061523,41.0
23.586881637573242,38.0
26.81851577758789,27.0
24.318523406982422,21.0
17.894664764404297,22.0
23.365175247192383,17.0
24.44713020324707,19.0
24.81731605529785,25.0
23.72939682006836,25.0
22.458091735839844,21.0
23.00017547607422,27.0
24.952499389648438,26.0
24.19691276550293,18.0
25.350357055664062,16.0
25.042816162109375,12.0
21.038307189941406,13.0
26.36473274230957,24.0
22.23701286315918,29.0
23.515155792236328,25.0
23.352670669555664,13.0
23.704050064086914,11.0
27.22279167175293,24.0
26.919029235839844,28.0
26.177406311035156,30.0
23.17902374267578,31.0
23.340078353881836,27.0
23.438446044921875,15.0
24.187231063842773,26.0
25.369220733642578,28.0
27.587549209594727,37.0
27.724559783935547,30.0
26.158374786376953,31.0
26.542940139770508,27.0
26.878475189208984,15.0
24.328561782836914,22.0
25.17618751525879,29.0
26.243261337280273,29.0
25.897808074951172,21.0
23.665142059326172,15.0
24.292030334472656,20.0
25.089130401611328,28.0
23.874670028686523,27.0
26.06714630126953,14.0
24.824419021606445,17.0
24.626792907714844,23.0
25.80906867980957,20.0
26.8677921295166,16.0
26.06500816345215,20.0
26.88749122619629,24.0
27.037485122680664,33.0
27.50267219543457,35.0
29.108572006225586,29.0
26.60923194885254,17.0
26.53007698059082,10.0
26.901302337646484,16.0
28.064266204833984,16.0
28.008281707763672,31.0
42.81907653808594,63.0
34.02175521850586,60.0
35.75257873535156,42.0
35.122615814208984,38.0
33.41585159301758,32.0
29.977264404296875,28.0
30.733333587646484,20.0
29.26416778564453,17.0
31.69845962524414,19.0
30.838912963867188,19.0
29.96998405456543,18.0
29.271928787231445,17.0
28.950647354125977,17.0
31.103830337524414,16.0
29.71714210510254,16.0
27.605451583862305,8.0
30.29880714416504,19.0
34.12635040283203,39.0
32.02977752685547,44.0
32.111270904541016,40.0
30.965112686157227,25.0
30.024913787841797,26.0
26.87809944152832,22.0
25.48163604736328,18.0
28.863422393798828,21.0
31.102054595947266,21.0
31.3721923828125,21.0
30.86676597595215,27.0
31.02419662475586,29.0
26.464134216308594,30.0
28.418100357055664,28.0
30.62811279296875,37.0
33.312313079833984,44.0
32.119300842285156,33.0
31.818479537963867,23.0
34.210697174072266,25.0
32.90259552001953,19.0
29.595279693603516,19.0
30.892253875732422,19.0
31.468624114990234,18.0
31.70448875427246,23.0
30.809968948364258,28.0
31.52099609375,29.0
30.677791595458984,30.0
29.816791534423828,30.0
29.430788040161133,35.0
28.68617820739746,29.0
28.729639053344727,27.0
30.053966522216797,32.0
29.53583526611328,52.0
28.917760848999023,36.0
28.931503295898438,30.0
26.657501220703125,30.0
26.96078872680664,29.0
27.214792251586914,27.0
32.159446716308594,31.0
30.141407012939453,37.0
