date,Humidity,Windspeed,Temperature,Precipitation,PM10
2018-06-25,78,17,67,0.0,16
2018-06-26,80,17,66,0.0,20
2018-06-27,80,17,67,0.0,24
2018-06-28,73,15,64,0.0,33
2018-06-29,77,12,65,0.0,35
2018-06-30,78,10,67,0.0,29
2018-07-01,74,18,66,0.0,17
2018-07-02,78,15,66,0.0,10
2018-07-03,79,13,66,0.0,16
2018-07-04,71,14,65,0.0,16
2018-07-05,72,18,66,0.0,31
2018-07-06,52,17,81,0.0,63
2018-07-07,69,16,73,0.0,60
2018-07-08,61,14,76,0.0,42
2018-07-09,62,17,75,0.0,38
2018-07-10,71,10,73,0.0,32
2018-07-11,77,14,70,0.0,28
2018-07-12,76,16,71,0.0,20
2018-07-13,79,14,69,0.0,17
2018-07-14,74,15,71,0.0,19
2018-07-15,75,12,72,0.0,19
2018-07-16,74,14,70,0.0,18
2018-07-17,76,14,69,0.0,17
2018-07-18,78,15,69,0.0,17
2018-07-19,79,10,71,0.0,16
2018-07-20,81,16,71,0.0,16
2018-07-21,81,20,69,0.0,8
2018-07-22,74,13,71,0.0,19
2018-07-23,69,14,75,0.0,39
2018-07-24,75,14,73,0.0,44
2018-07-25,73,10,71,0.0,40
2018-07-26,79,7,70,0.0,25
2018-07-27,79,10,69,0.0,26
2018-07-28,82,13,66,0.0,22
2018-07-29,84,16,67,0.0,18
2018-07-30,79,10,69,0.0,21
2018-07-31,73,10,70,0.0,21
2018-08-01,72,12,70,0.0,21
2018-08-02,75,9,69,0.0,27
2018-08-03,73,12,69,0.0,29
2018-08-04,81,13,65,0.0,30
2018-08-05,76,10,68,0.0,28
2018-08-06,72,12,70,0.0,37
2018-08-07,67,12,72,0.0,44
2018-08-08,79,14,74,0.0,33
2018-08-09,77,16,73,0.0,23
2018-08-10,69,14,73,0.0,25
2018-08-11,68,16,71,0.0,19
2018-08-12,77,14,71,0.0,19
2018-08-13,75,15,72,0.0,19
2018-08-14,76,12,72,0.0,18
2018-08-15,72,14,71,0.0,23
2018-08-16,78,13,71,0.0,28
2018-08-17,77,15,72,0.0,29
2018-08-18,81,15,72,0.0,30
2018-08-19,79,14,72,0.0,30
2018-08-20,76,15,70,0.0,35
2018-08-21,81,15,70,0.0,29
2018-08-22,79,15,69,0.0,27
