date,Humidity,Windspeed,Temperature,Precipitation,PM2.5
2018-01-01,86,12,52,0.0,13.1
2018-01-02,82,10,55,0.0,11.5
2018-01-03,63,13,56,0.01,10.3
2018-01-04,75,13,61,0.19,10.9
2018-01-05,95,8,57,0.0,5.5
2018-01-06,92,12,59,0.0,6.7
2018-01-07,92,9,56,0.0,12.1
2018-01-08,89,21,61,0.18,6.5
2018-01-09,86,30,58,2.34,3.0
2018-01-10,66,21,59,0.0,5.6
2018-01-11,86,10,54,0.0,13.1
2018-01-12,76,13,56,0.0,11.9
2018-01-13,57,13,60,0.0,10.0
2018-01-14,51,12,62,0.0,10.0
2018-01-15,86,14,53,0.0,11.4
2018-01-16,80,9,55,0.0,14.9
2018-01-17,77,13,58,0.0,12.6
2018-01-18,78,9,57,0.0,10.9
2018-01-19,69,16,55,0.0,4.8
2018-01-20,45,21,54,0.0,4.7
2018-01-21,50,13,50,0.0,7.6
2018-01-22,53,15,51,0.0,5.6
2018-01-23,57,14,54,0.0,6.0
2018-01-24,62,12,53,0.0,7.6
2018-01-25,55,24,53,0.0,6.3
2018-01-26,56,23,52,0.0,8.0
2018-01-27,50,12,52,0.0,7.5
2018-01-28,46,12,59,0.0,7.6
2018-01-29,45,10,60,0.0,7.4
2018-01-30,48,12,61,0.0,7.9
2018-01-31,53,8,56,0.0,7.7
2018-02-01,50,9,58,0.0,10.6
2018-02-02,58,12,60,0.0,13.6
2018-02-03,63,12,57,0.0,10.3
2018-02-04,74,12,58,0.0,10.3
2018-02-05,90,13,52,0.0,15.1
2018-02-06,88,9,54,0.0,30.2
2018-02-07,79,15,54,0.0,16.0
2018-02-08,67,8,57,0.0,8.2
2018-02-09,71,15,55,0.0,12.3
2018-02-10,85,9,54,0.0,16.0
2018-02-11,67,21,55,0.0,12.2
2018-02-12,54,26,54,0.0,6.3
2018-02-13,72,18,54,0.0,6.6
2018-02-14,69,13,55,0.01,6.2
2018-02-15,57,15,54,0.0,7.7
2018-02-16,49,9,54,0.0,7.9
2018-02-17,59,13,54,0.0,10.5
2018-02-18,70,24,54,0.0,8.0
2018-02-19,40,28,48,0.0,4.8
2018-02-20,41,16,46,0.0,4.0
2018-02-21,45,24,48,0.0,5.2
2018-02-22,55,25,48,0.0,5.5
2018-02-23,38,24,48,0.0,3.4
2018-02-24,41,21,46,0.0,6.5
2018-02-25,54,15,48,0.0,7.5
2018-02-26,59,25,50,0.0,6.3
2018-02-27,59,13,45,0.0,5.5
2018-02-28,61,12,45,0.0,6.9
2018-03-01,74,13,48,0.18,5.9
2018-03-02,78,15,55,0.15,4.1
2018-03-03,72,23,52,0.16,3.0
2018-03-04,49,15,51,0.0,3.1
2018-03-05,49,12,52,0.0,4.7
2018-03-06,43,12,56,0.0,5.4
2018-03-07,60,14,55,0.0,7.4
2018-03-08,60,12,56,0.0,6.3
2018-03-09,80,12,58,0.0,7.8
2018-03-10,86,15,58,0.87,5.9
2018-03-11,87,13,59,0.01,4.5
2018-03-12,89,10,59,0.01,7.6
2018-03-13,95,13,58,0.63,2.9
2018-03-14,80,15,54,0.44,2.1
2018-03-15,66,24,56,0.0,2.8
2018-03-16,82,12,49,0.12,3.9
2018-03-17,70,26,51,0.0,1.8
2018-03-23,75,10,54,0.0,3.5
2018-03-24,68,26,54,0.0,3.2
2018-03-25,45,21,57,0.0,1.8
2018-03-26,39,29,58,0.0,1.4
2018-03-27,51,18,56,0.0,5.2
2018-03-28,68,13,56,0.0,7.7
2018-03-29,88,10,56,0.0,10.6
2018-03-30,90,12,55,0.0,9.2
2018-03-31,90,13,55,0.0,7.2
2018-04-01,90,10,56,0.0,9.2
2018-04-02,83,10,54,0.0,8.4
2018-04-03,80,18,55,0.0,9.7
2018-04-04,90,12,57,0.0,10.6
2018-04-05,83,12,58,0.0,12.3
2018-04-06,74,24,60,0.0,6.6
2018-04-07,72,23,69,0.0,5.9
2018-04-08,45,24,69,0.0,9.2
2018-04-09,51,16,67,0.0,11.7
2018-04-10,57,13,65,0.0,12.5
2018-04-11,53,26,63,0.0,9.0
2018-04-12,43,28,62,0.0,2.4
2018-04-13,51,24,61,0.0,5.5
2018-04-14,58,10,62,0.0,9.0
2018-04-15,60,12,60,0.0,14.0
2018-04-16,57,30,57,0.0,4.1
2018-04-17,54,18,56,0.0,3.0
2018-04-18,61,15,54,0.0,5.8
2018-04-19,60,28,58,0.0,4.0
2018-04-20,69,17,57,0.0,8.7
2018-04-21,69,15,59,0.0,11.8
2018-04-22,71,10,62,0.0,14.5
2018-04-23,87,15,59,0.0,12.5
2018-04-24,86,12,56,0.0,10.0
2018-04-25,85,15,57,0.0,12.9
2018-04-26,83,14,57,0.0,12.1
2018-04-27,77,13,55,0.0,11.4
2018-04-28,58,26,62,0.0,8.9
2018-04-29,58,21,61,0.0,8.1
2018-04-30,65,21,60,0.0,7.8
2018-05-01,68,13,55,0.0,9.0
2018-05-02,73,16,57,0.0,6.6
2018-05-03,71,13,58,0.0,8.3
2018-05-04,73,18,61,0.0,10.7
2018-05-05,71,13,63,0.0,11.7
2018-05-06,73,10,60,0.0,9.0
2018-05-07,80,10,59,0.0,10.1
2018-05-08,82,12,59,0.0,8.0
2018-05-09,81,15,60,0.0,8.9
2018-05-10,76,13,61,0.0,10.7
2018-05-11,79,10,59,0.0,12.0
2018-05-12,72,12,62,0.0,8.7
2018-05-13,68,21,61,0.0,5.9
2018-05-14,73,44,58,0.0,6.6
2018-05-15,69,17,58,0.0,3.7
2018-05-16,65,24,60,0.0,2.6
2018-05-17,71,12,59,0.0,5.6
2018-05-18,74,15,59,0.0,6.6
2018-05-19,76,16,58,0.0,7.5
2018-05-20,72,16,59,0.0,8.5
2018-05-21,68,14,60,0.0,8.1
2018-05-22,71,13,59,0.0,5.3
2018-05-23,75,10,61,0.0,4.3
2018-05-24,75,13,61,0.0,2.7
2018-05-25,73,26,58,0.0,2.7
2018-05-26,64,26,63,0.0,7.1
2018-05-27,76,16,59,0.0,9.5
2018-05-28,80,16,62,0.0,10.1
2018-05-29,84,13,62,0.0,7.2
2018-05-30,84,12,62,0.0,4.4
2018-05-31,67,14,62,0.0,7.7
2018-06-01,68,12,61,0.0,9.0
2018-06-02,73,14,62,0.0,11.2
2018-06-03,78,15,61,0.0,12.9
2018-06-04,80,13,61,0.0,12.7
2018-06-05,77,14,60,0.0,6.5
2018-06-06,72,17,60,0.0,8.0
2018-06-07,71,16,61,0.0,8.7
2018-06-08,70,13,63,0.0,12.7
2018-06-09,61,22,69,0.0,12.5
2018-06-10,60,20,65,0.0,12.7
2018-06-11,67,8,65,0.0,13.1
2018-06-12,80,16,63,0.0,11.8
2018-06-13,84,12,63,0.0,9.0
2018-06-14,76,18,63,0.0,9.2
2018-06-15,76,13,63,0.0,10.5
2018-06-16,77,14,63,0.0,7.9
2018-06-17,73,14,60,0.0,6.5
2018-06-18,70,16,60,0.0,7.4
2018-06-19,75,14,62,0.0,11.0
2018-06-20,78,15,61,0.0,10.8
2018-06-21,79,13,64,0.0,6.6
2018-06-22,83,12,63,0.0,8.8
2018-06-23,85,14,64,0.0,9.0
2018-06-24,80,15,66,0.0,8.7
2018-06-25,78,17,67,0.0,6.7
2018-06-26,80,17,66,0.0,5.7
2018-06-27,80,17,67,0.0,9.1
2018-06-28,73,15,64,0.0,10.4
2018-06-29,77,12,65,0.0,12.7
2018-06-30,78,10,67,0.0,11.5
2018-07-01,74,18,66,0.0,6.7
2018-07-02,78,15,66,0.0,3.9
2018-07-03,79,13,66,0.0,5.0
2018-07-04,71,14,65,0.0,6.5
2018-07-05,72,18,66,0.0,9.7
2018-07-06,52,17,81,0.0,12.4
2018-07-07,69,16,73,0.0,18.0
2018-07-08,61,14,76,0.0,15.0
2018-07-09,62,17,75,0.0,14.7
2018-07-10,71,10,73,0.0,12.8
2018-07-11,77,14,70,0.0,11.1
2018-07-12,76,16,71,0.0,6.4
2018-07-13,79,14,69,0.0,5.5
2018-07-14,74,15,71,0.0,5.8
2018-07-15,75,12,72,0.0,5.5
2018-07-16,74,14,70,0.0,5.6
2018-07-17,76,14,69,0.0,6.0
2018-07-18,78,15,69,0.0,6.9
2018-07-19,79,10,71,0.0,6.8
2018-07-20,81,16,71,0.0,7.0
2018-07-21,81,20,69,0.0,2.2
2018-07-22,74,13,71,0.0,4.4
2018-07-23,69,14,75,0.0,10.0
2018-07-24,75,14,73,0.0,13.9
2018-07-25,73,10,71,0.0,14.1
2018-07-26,79,7,70,0.0,11.0
2018-07-27,79,10,69,0.0,9.1
2018-07-28,82,13,66,0.0,9.4
2018-07-29,84,16,67,0.0,8.0
2018-07-30,79,10,69,0.0,7.0
2018-07-31,73,10,70,0.0,6.4
2018-08-01,72,12,70,0.0,6.5
2018-08-02,75,9,69,0.0,9.5
2018-08-03,73,12,69,0.0,9.8
2018-08-04,81,13,65,0.0,11.2
2018-08-05,76,10,68,0.0,11.0
2018-08-06,72,12,70,0.0,11.2
2018-08-07,67,12,72,0.0,16.0
